ess_number,level,title,notes,reserved
31 43 00,section,Air Handling Units,,
31 43 13,section,Packaged Air Handling Units,,
31 43 16,section,Custom Air Handling Units,,
31 44 00,section,Dedicated Outdoor Air Systems,,
31 45 00,section,Humidifiers,,
31 46 00,section,Air Purifiers,,
31 51 00,section,Central Heating Equipment,,
31 51 13,section,Boilers,,
31 51 16,section,Furnaces,,
31 51 19,section,Radiant Heating Units,,
31 52 00,section,Heat Exchangers for HVAC,,
31 53 00,section,Heating Boilers and Accessories,,
31 56 00,section,Solar Energy Heating Equipment,,
31 61 00,section,Central Cooling Equipment,,
31 61 13,section,Refrigerant Compressors,,
31 61 16,section,Packaged Air-Cooled Refrigerant Compressors,,
31 61 19,section,Refrigerant Condensers,,
31 61 23,section,Refrigerant Evaporators,,
31 62 00,section,Packaged Compressor and Condenser Units,,
31 63 00,section,Refrigerant Cooling Equipment,,
31 64 00,section,Packaged Terminal HVAC Equipment,,
31 64 13,section,Packaged Terminal Air Conditioners,,
31 64 16,section,Packaged Terminal Heat Pumps,,
31 71 00,section,Unitary HVAC Equipment,,
31 71 13,section,Split-System Air Conditioning Units,,
31 71 16,section,Heat Pumps,,
31 73 00,section,Indoor Central-Station Air-Handling Units,,
31 74 00,section,Packaged Outdoor HVAC Equipment,,
31 74 13,section,Packaged Rooftop Units,,
31 81 00,section,Decentralized HVAC Equipment,,
31 82 00,section,Convection Heating and Cooling Units,,
31 83 00,section,Radiant Heating Units,,
31 84 00,section,Humidity Control Equipment,,
32 00 00,division,Fire Suppression,,
32 01 00,section,Fire Suppression Rehabilitation,,
32 05 00,section,Common Work Results for Fire Suppression,,
32 11 00,section,Fire Suppression Piping,,
32 11 13,section,Fire Protection Piping,,
32 12 00,section,Fire Suppression Standpipes,,
32 13 00,section,Fire Pumps,,
32 13 13,section,Electric-Drive Fire Pumps,,
32 13 16,section,Diesel-Drive Fire Pumps,,
32 13 19,section,Fire Pump Controllers and Accessories,,
32 14 00,section,Fire Suppression Water Storage,,
32 15 00,section,Fire Suppression Specialty Systems,,
32 21 00,section,Fire Suppression Sprinkler Systems,,
32 21 13,section,Wet-Pipe Sprinkler Systems,,
32 21 16,section,Dry-Pipe Sprinkler Systems,,
32 21 19,section,Pre-Action Sprinkler Systems,,
32 21 23,section,Deluge Sprinkler Systems,,
32 21 26,section,Combined Dry-Pipe and Pre-Action Systems,,
32 31 00,section,Fire Suppression Fixed Systems,,
32 31 13,section,Carbon Dioxide Fire Suppression Systems,,
32 31 16,section,Dry Chemical Fire Suppression Systems,,
32 31 19,section,Pre-Engineered Wet Chemical Fire Suppression Systems,,
32 31 23,section,Clean-Agent Extinction Systems,,
32 41 00,section,Foam Fire Suppression Systems,,
33 00 00,division,Electrical,,
33 05 00,section,Common Work Results for Electrical,,
33 05 13,section,Conductors and Cables,,
33 05 19,section,Low-Voltage Electrical Power Conductors and Cables,,
33 05 26,section,Grounding and Bonding for Electrical Systems,,
33 05 29,section,Hangers and Supports for Electrical Systems,,
33 05 33,section,Raceway and Boxes for Electrical Systems,,
33 05 36,section,Cable Trays for Electrical Systems,,
33 05 43,section,Underground Ducts and Raceways for Electrical Systems,,
33 05 53,section,Identification for Electrical Systems,,
33 06 00,section,Schedules for Electrical,,
33 11 00,section,Facility Electrical Power Generating and Storing Equipment,,
33 12 00,section,Medium-Voltage Electrical Distribution,,
33 12 13,section,Primary Electrical Switchgear,,
33 12 16,section,Primary Electrical Switchboard,,
33 13 00,section,Site Grounding,,
33 21 00,section,Low-Voltage Electrical Transmission,,
33 21 13,section,Low-Voltage Electrical Service Entrance,,
33 21 16,section,Underground Electrical Distribution,,
33 22 00,section,Low-Voltage Transformers,,
33 22 13,section,Dry-Type Transformers,,
33 23 00,section,Battery Equipment,,
33 24 00,section,Switches,,
33 26 00,section,Power Filtering and Conditioning Equipment,,
33 27 00,section,Power Monitoring,,
33 29 00,section,Enclosed Bus Assemblies,,
33 31 00,section,Lighting Equipment,,
33 31 13,section,Interior Lighting,,
33 31 16,section,Lighting Panels,,
33 31 19,section,Emergency Lighting,,
33 31 23,section,Exit Signs,,
33 32 00,section,Exterior Lighting,,
33 32 13,section,Roadway Lighting,,
33 32 16,section,Site Lighting,,
33 33 00,section,Special Purpose Lighting,,
33 41 00,section,Switchboards, Panelboards, and Motor Control,,
33 41 13,section,Switchboards,,
33 41 16,section,Panelboards,,
33 41 19,section,Enclosed Switches and Circuit Breakers,,
33 41 23,section,Motor-Control Centers,,
33 46 00,section,Electrical Systems Monitoring and Control,,
33 51 00,section,Generators,,
33 51 13,section,Engine Generators,,
33 51 23,section,Photovoltaic Generating Equipment,,
33 53 00,section,Uninterruptible Power Supply Equipment,,
33 71 00,section,Voice and Data Communications,,
33 71 13,section,Communications Pathways and Spaces,,
33 71 19,section,Copper Communications Cables,,
33 71 23,section,Optical Fiber Communications Cables,,
33 81 00,section,Electronic Safety and Security,,
33 81 13,section,Fire Alarm Systems,,
33 81 16,section,Mass Notification Systems,,
33 81 23,section,Intrusion Detection Systems,,
33 81 26,section,Access Control Systems,,
33 81 29,section,Video Surveillance Systems,,
33 82 00,section,Electronic Monitoring and Control,,
34 00 00,division,Reserved for Future Expansion,Reserved,reserved
35 00 00,division,Reserved for Future Expansion,Reserved,reserved
36 00 00,division,Reserved for Future Expansion,Reserved,reserved
37 00 00,division,Reserved for Future Expansion,Reserved,reserved
38 00 00,division,Reserved for Future Expansion,Reserved,reserved
39 00 00,division,Reserved for Future Expansion,Reserved,reserved
40 00 00,division,Conveying Equipment,,
40 11 00,section,Elevators,,
40 11 13,section,Electric Traction Elevators,,
40 11 16,section,Hydraulic Elevators,,
40 11 19,section,Limited-Use/Limited-Application Elevators,,
40 12 00,section,Escalators and Moving Walkways,,
40 12 13,section,Escalators,,
40 12 16,section,Moving Walks,,
40 13 00,section,Moving Ramps,,
40 14 00,section,Pneumatic Tube Systems,,
40 21 00,section,Conveyors and Material Handling,,
40 21 13,section,Belt Conveyors,,
40 21 16,section,Gravity Conveyors,,
40 21 19,section,Pneumatic Conveyors,,
40 41 00,section,Turntables and Platforms,,
40 51 00,section,Chutes,,
40 51 13,section,Laundry and Linen Chutes,,
40 51 16,section,Rubbish Chutes,,
41 00 00,division,Earthwork,,
41 11 00,section,Site Clearing,,
41 11 13,section,Selective Site Clearing,,
41 11 16,section,Tree Protection and Trimming,,
41 12 00,section,Earth Moving,,
41 12 13,section,Site Grading,,
41 12 16,section,Excavation and Fill,,
41 12 19,section,Trenching,,
41 13 00,section,Rock Removal,,
41 14 00,section,Earth Dams,,
41 15 00,section,Erosion and Sedimentation Controls,,
41 15 13,section,Temporary Erosion and Sedimentation Control,,
41 15 16,section,Permanent Erosion and Sedimentation Controls,,
41 16 00,section,Contaminated Site Material Removal,,
41 16 13,section,Contaminated Soil Removal and Disposal,,
41 17 00,section,Earthwork Methods,,
41 17 13,section,Compaction,,
41 17 16,section,Dewatering,,
41 17 19,section,Shoring,,
41 21 00,section,Base Courses,,
41 21 13,section,Aggregate Base Courses,,
41 21 16,section,Cement-Treated Base Courses,,
41 31 00,section,Soil Treatment,,
41 31 13,section,Chemical Soil Stabilization,,
41 32 00,section,Geotextiles,,
41 32 13,section,Woven Geotextiles,,
42 00 00,division,Exterior Improvements,,
42 11 00,section,Flexible Paving,,
42 11 13,section,Bituminous Paving,,
42 11 16,section,Bituminous Surfacing,,
42 12 00,section,Rigid Paving,,
42 12 13,section,Portland Cement Concrete Paving,,
42 12 16,section,Concrete Walks and Curbs,,
42 13 00,section,Unit Paving,,
42 13 13,section,Brick Unit Paving,,
42 13 16,section,Concrete Unit Paving,,
42 13 19,section,Stone Paving,,
42 14 00,section,Athletic and Recreational Paving,,
42 21 00,section,Curbs Gutters Sidewalks and Driveways,,
42 22 00,section,Traffic Calming,,
42 23 00,section,Parking Lots,,
42 31 00,section,Fences and Gates,,
42 31 13,section,Chain Link Fences and Gates,,
42 31 16,section,Ornamental Metal Fences and Gates,,
42 31 19,section,Wood Fences and Gates,,
42 32 00,section,Retaining Walls,,
42 32 13,section,Concrete Retaining Walls,,
42 32 16,section,Segmental Concrete Masonry Retaining Walls,,
42 32 19,section,Gabion Retaining Walls,,
42 41 00,section,Irrigation,,
42 41 13,section,Irrigation Piping,,
42 41 16,section,Sprinkler Irrigation,,
42 41 19,section,Drip and Bubbler Irrigation,,
42 51 00,section,Planting,,
42 51 13,section,Landscape Edgings,,
42 51 16,section,Soil Preparation,,
42 51 19,section,Turf and Grasses,,
42 51 23,section,Plants and Bulbs,,
42 51 26,section,Trees and Shrubs,,
42 61 00,section,Site Development,,
42 61 13,section,Tactile Warning Surfaces,,
42 61 16,section,Flagpoles,,
42 61 19,section,Exterior Clocks,,
42 71 00,section,Wetlands,,
42 72 00,section,Stormwater Management,,
42 72 13,section,Bioretention,,
42 72 16,section,Green Roofs for Stormwater Management,,
43 00 00,division,Utilities,,
43 11 00,section,Water Utility Distribution,,
43 11 13,section,Water Utility Distribution Piping,,
43 11 16,section,Water Utility Distribution Equipment,,
43 12 00,section,Sanitary Utility Sewerage,,
43 12 13,section,Sanitary Utility Sewerage Piping,,
43 12 16,section,Sanitary Utility Sewerage Force Mains,,
43 13 00,section,Storm Utility Drainage,,
43 13 13,section,Storm Utility Drainage Piping,,
43 14 00,section,Natural Gas Utility Distribution,,
43 14 13,section,Natural Gas Utility Piping,,
43 21 00,section,Electrical Utility Transmission,,
43 21 13,section,Electrical Utility Poles and Structures,,
43 22 00,section,Communications Utility Distribution,,
43 22 13,section,Communications Utility Conduit,,
43 31 00,section,Site Manholes and Structures,,
43 31 13,section,Precast Concrete Utility Structures,,
43 31 16,section,Cast-in-Place Concrete Utility Structures,,
44 00 00,division,Transportation,,
44 11 00,section,Roadways,,
44 11 13,section,Flexible Roadway Surfaces,,
44 11 16,section,Rigid Roadway Surfaces,,
44 12 00,section,Bridges,,
44 12 13,section,Cast-in-Place Concrete Bridges,,
44 12 16,section,Precast Concrete Bridges,,
44 13 00,section,Tunnels,,
44 21 00,section,Airfield Paving,,
44 31 00,section,Rail Trackwork,,
44 31 13,section,Ballasted Track,,
44 41 00,section,Traffic Management,,
44 41 13,section,Traffic Control Devices,,
44 41 16,section,Pavement Marking,,
45 00 00,division,Process Piping,,
45 11 00,section,Process Gas Piping,,
45 12 00,section,Process Air Piping,,
45 13 00,section,Process Liquid Piping,,
45 14 00,section,Process Steam Piping,,
45 21 00,section,Specialty Piping,,
45 21 13,section,High-Purity Piping,,
45 21 16,section,Chemical-Resistant Piping,,
45 31 00,section,Process Valves,,
45 41 00,section,Process Instrumentation and Control,,
46 00 00,division,Process Heating Cooling and Drying Equipment,,
46 11 00,section,Process Heating Equipment,,
46 12 00,section,Process Cooling Equipment,,
46 13 00,section,Process Drying Equipment,,
46 21 00,section,Process Boilers,,
46 31 00,section,Refrigerant Cooling Equipment,,
47 00 00,division,Process Gas and Liquid Handling,,
47 11 00,section,Process Air and Gas Handling and Purification Equipment,,
47 12 00,section,Process Liquid Handling and Purification Equipment,,
47 13 00,section,Process Sewage and Sludge Handling and Treatment Equipment,,
47 21 00,section,Storage Vessels,,
47 31 00,section,Bulk Material Handling,,
48 00 00,division,Reserved for Future Expansion,Reserved,reserved
49 00 00,division,Reserved for Future Expansion,Reserved,reserved
